schema_name,table_name,description
public,"""first""",Faint Images of the Radio Sky at Twenty cm (FIRST)
MASTER_TABLE,"MASTER_TABLE.""time""",Time only queries
MASTER_TABLE,MASTER_TABLE.indexview,View of metainfo table data as table
MASTER_TABLE,MASTER_TABLE.pos_big,"Position only queries, > 1 degree FOV"
MASTER_TABLE,MASTER_TABLE.pos_small,"Position only queries, <= 1 degree FOV"
MASTER_TABLE,MASTER_TABLE.pos_time_big,"Position/time  queries, > 1 degree FOV"
MASTER_TABLE,MASTER_TABLE.pos_time_small,"Position/time queries, <= 1 degree FOV"
TAP_SCHEMA,TAP_SCHEMA.columns,Available columns
TAP_SCHEMA,TAP_SCHEMA.key_columns,Key/Foreign key pairs -- usused
TAP_SCHEMA,TAP_SCHEMA.keys,Joins between tables -- unused
TAP_SCHEMA,TAP_SCHEMA.schemas,Available schemas
TAP_SCHEMA,TAP_SCHEMA.tables,Available tables
public,a1,HEAO 1 A1 X-Ray Source Catalog
public,a1point,HEAO 1 A1 Lightcurves
public,a2lcpoint,HEAO 1 A2 Pointed Lightcurves
public,a2lcscan,HEAO 1 A2 Scanned Lightcurves
public,a2led,HEAO 1 A2 LED Catalog
public,a2pic,HEAO 1 A2 Piccinotti Catalog
public,a2point,HEAO 1 A2 Pointing Catalog
public,a2rtraw,HEAO 1 A2 Raw Rates
public,a2specback,HEAO 1 A2 Spectra Background
public,a2spectra,HEAO 1 A2 Spectra
public,a3,HEAO 1 A3 MC LASS Catalog
public,a4,HEAO 1 A4 Catalog of High-Energy X-Ray Sources
public,a4spectra,HEAO 1 A4 Spectra
public,aavsovsx,AAVSO International Variable Star Index
public,abell,Abell Clusters
public,abellzcat,Abell Clusters Measured Redshifts Catalog
public,acceptcat,Archive of Chandra Cluster Entropy Profile Tables (ACCEPT) Catal
public,acrs,Astrographic Catalog of Reference Stars
public,actegsrcat,Atacama Cosmology Telescope 2008 Survey 148-GHz Extragalactic So
public,actmadcows,ACT Massive and Distant Clusters of WISE Survey (MaDCoWS) Candid
public,actsouth,Atacama Cosmology Telescope (ACT) Extragalactic Southern Sources
public,actssrcat,Atacama Cosmology Telescope 2008 Southern Survey 148/218 GHz Sou
public,actszclust,Atacama Cosmology Telescope DR5 Sunyaev-Zeldovich Cluster Catalo
public,aegis20,All-Wavelength Extended Groth Strip Int. Survey (AEGIS) VLA 20-c
public,aegis20id,All-Wavelength Extended Groth Strip Int. Survey (AEGIS) 20-cm Fu
public,aegisx,AEGIS-X Chandra Extended Groth Strip X-Ray Point Source Catalog
public,aegisxdcxo,AEGIS-X Deep Survey Chandra X-Ray Point Source Catalog
public,agilecat,First AGILE Catalog of High-Confidence Gamma-Ray Sources
public,agileupvar,Updated AGILE Catalog of Bright Gamma-Ray Sources and Variabilit
public,agnsdssxm2,Sloan Digital Sky Survey/XMM-Newton Type1 AGN X-Ray and Radio Pr
public,agnsdssxmm,Sloan Digital Sky Survey/XMM-Newton AGN Spectral Properties Cata
public,akaribsc,"AKARI/FIS All-Sky Survey Bright Source Catalog, Version 1"
public,akaripsc,"AKARI/IRC All-Sky Survey Point Source Catalog, Version 1"
public,aknepdfcxo,Akari North Ecliptic Pole Deep Field Chandra X-Ray Point Source
public,alfperxmm,Alpha Per Open Cluster XMM-Newton X-Ray Source Catalog
public,allwiseagn,AllWISE Catalog of Mid-IR AGNs
public,ami10c15gz,10C Survey at 15.7 GHz Radio Source Catalog
public,amigps16gh,AMI Galactic Plane Survey 16-GHz Source Catalog
public,ams02rates,AMS-02 All Particle Rates Catalog
public,ams02spec,AMS-02 Spectral Results Catalog
public,ansuvpscat,ANS Ultraviolet Photometry Catalog of Point Sources
public,arcquincxo,Arches and Quintuplet Clusters Chandra X-Ray Point Source Catalo
public,ariel3a,3rd Ariel-V SSI Catalog
public,ariel5,Ariel V All-Sky Monitor
public,arxa,Atlas of Radio/X-Ray Associations (ARXA)
public,ascaegclus,ASCA Elliptical Galaxies and Galaxy Clusters Catalog
public,ascagis,ASCA GIS Source Catalog (AMSS-I + AMSS-II)
public,ascagps,ASCA Galactic Plane Survey of Faint X-Ray Sources
public,ascalss,ASCA Large Sky Survey
public,ascamaster,ASCA Master Catalog
public,ascao,ASCA Proposals
public,ascaprspec,ASCA Proposal Info & Abstracts
public,ascasis,ASCA SIS Source Catalog
public,asiagosn,Asiago Supernova Catalog (Dynamic Version)
public,askapbeta,BETA Pilot Multi-Epoch Continuum Survey of Spitzer SPT Deep Fiel
public,at20g,Australia Telescope 20-GHz (AT20G) Survey Catalog
public,at20g1fgl,AT20G/Fermi 1FGL Source Catalog
public,at20gbspol,Bright Extra-Galactic AT20G Sources Polarizations Catalog
public,at20gbss,Australia Telescope 20-GHz Survey Bright Source Sample
public,at20gharc,Australia Telescope 20-GHz (AT20G) High-Angular Resolution Catal
public,at2fglus,Australia Telescope 2FGL Unassociated Sources Radio Source Catal
public,atats,Allen Telescope Array Twenty-cm Survey (ATATS) Source Catalog
public,atcaadfs20,Australia Telescope Compact Array AKARI Deep Field South 20-cm S
public,atcdfsss82,Australia Telescope Chandra Deep Field-South and SDSS Stripe 82
public,atesp1p4gh,Australia Telescope ESO Slice Project 1.4-GHz Source Catalog
public,athdfs1p4g,Australia Telescope Hubble Deep Field-South 1.4-GHz Source Catal
public,athdfs3frq,"Australia Telescope Hubble Deep Field-South 2.5, 5.2 and 8.7-GHz"
public,athdfsccat,Australia Telescope Hubble Deep Field-South Combined Source Cata
public,athdfsoid,Australia Telescope Hubble Deep Field-South Optical Identificati
public,atlas2p3gh,AT Large Area Survey (ATLAS) ELAIS-S1 & CDF-S 2.3-GHz Source Cat
public,atlas5p5gh,AT Large Area Survey (ATLAS) E-CDF-S 5.5-GHz Components Catalog
public,atlascscpt,AT Large Area Survey (ATLAS) CDF-S/SWIRE 1.4-GHz Components Cata
public,atlascsid,AT Large Area Survey (ATLAS) CDF-S/SWIRE ID and Classification C
public,atlasd2cpt,AT Large Area Survey (ATLAS) CDF-S & ELAIS-S1 1.4-GHz DR2 Compon
public,atlasescpt,AT Large Area Survey (ATLAS) ELAIS-S1/SWIRE 1.4-GHz Components C
public,atlasesid,AT Large Area Survey (ATLAS) ELAIS-S1/SWIRE ID and Classificatio
public,atlasspecz,AT Large Area Survey (ATLAS) Spectroscopic Classes & Redshifts C
public,atlbs1p4gh,Australia Telescope Low-Brightness Survey Source Catalog
public,atlgds2p1g,Australia Telescope Local Group Dwarf Spheroidals 2.1-GHz Compon
public,atnfpulsar,ATNF Pulsar Catalog
public,atpmncat,Australia Telescope-PMN Catalog of Southern Radio Sources
public,axis,AXIS XMM-Newton Source Catalog
public,bat5bgrbsp,CGRO/BATSE 5B Gamma-Ray Burst Spectral Catalog
public,batse4b,CGRO/BATSE 4B Catalog
public,batsedaily,CGRO/BATSE Daily Data
public,batseeocat,CGRO/BATSE Earth Occultation Catalog of Low-Energy Gamma-Ray Sou
public,batsegrb,CGRO/BATSE Gamma-Ray Burst Catalog
public,batsegrbsp,CGRO/BATSE Complete Spectral Catalog of Bright GRBs
public,batsepulsr,CGRO/BATSE Pulsar Observations
public,batsetrigs,CGRO/BATSE Trigger Data
public,baxgalclus,BAX X-Ray Galaxy Clusters and Groups Catalog
public,bbxrt,BBXRT Archive
public,bestars,Be Stars Catalog
public,bhrfscid,Byurakan/Hamburg/ROSAT Catalog of Optical IDs
public,bmwchancat,Brera Multi-scale Wavelet Chandra Source Catalog
public,bmwhricat,Brera Multi-scale Wavelet ROSAT HRI Source Catalog
public,bnmdspecat,Brightest M Dwarfs in the Northern Sky Spectroscopic Catalog
public,boof153mhz,Bootes Field GMRT 153-MHz Source Catalog
public,bootesdf,Bootes Deep Field WSRT 1.4-GHz Source Catalog
public,bsc5p,Bright Star Catalog
public,burcbmastr,BurstCube Master Observation Catalog
public,caixa,Catalog of AGN in the XMM-Newton Archive
public,calchdmstr,CALET CHarge Detector (CHD) Master Catalog
public,calgbmmstr,CALET Gamma-Ray Burst Monitor (GBM) Master Catalog
public,candelscxo,CANDELS H-Band Selected Chandra Source Catalog
public,cargm31cxo,Carina Nebula Gum 31 Chandra X-Ray Point Source Catalog
public,carinaclas,Carina Nebula Chandra X-Ray Point Source Classes
public,carinacxo,Carina Nebula Chandra X-Ray Point Source Catalog
public,carinaxmm,Carina OB1 Association XMM-Newton X-Ray Point Source Catalog
public,cbatpicagn,CGRO BATSE-Observed Piccinotti Sample of Active Galactic Nuclei
public,cbfgrxecxo,Chandra Bulge Field X-Ray Point Source Catalog
public,ccalspec,CALET Calorimeter Results Catalog
public,ccosmoscat,Chandra COSMOS (C-COSMOS) Survey X-Ray Point Source Catalog
public,ccosmosoid,Chandra COSMOS (C-COSMOS) Survey Optical/IR Counterparts Catalog
public,ccosmphotz,Chandra COSMOS (C-COSMOS) Survey Photometric Redshift Catalog
public,ccosrssfag,Chandra COSMOS Radio-Selected Star-Forming Galaxies and AGN Cata
public,cdfn2msnew,Chandra Deep Field North 2-Megasecond Improved Point Source Cata
public,cdfn2msoi2,Chandra Deep Field North Updated Optical & IR Catalog
public,cdfn2msoid,Chandra Deep Field North 2-Megasecond Optical & IR Catalog
public,cdfsagncxo,Chandra Deep Field South AGN Spectral Properties Catalog
public,cenacxo,Centaurus A Galaxy Chandra X-Ray Point Source Catalog
public,cepaxmm,Cepheus A SFR XMM-Newton X-Ray Point Source Catalog
public,cepbob3cxo,Cep B/OB3 Star-Forming Region Chandra X-Ray Point Source Catalog
public,cepbob3oid,Cep B/OB3 Star-Forming Region Chandra Point Source Optical/IR ID
public,cfa2s,CfA Redshift Survey: South Galactic Cap Data
public,cfhtlsgxmm,XMM-Newton CFHTLS W1 Field Galaxy Groups Catalog
public,cg12cxo,CG 12 Chandra X-Ray Point Source Catalog
public,cgmw,Candidate Galaxies Behind the Milky Way
public,cgpsngpcat,Canadian Galactic Plane Survey (CGPS) 1420-MHz Compact Source Ca
public,cgrabs,Candidate Gamma-Ray Blazar Survey Source Catalog
public,cgroprspec,CGRO Proposal Info & Abstracts
public,cgrotl,CGRO Timeline
public,chainthcxo,Chamaeleon I North Cloud Chandra X-Ray Point Source Catalog
public,champhxagn,CHAMP (Chandra Multiwavelength Project) Hard X-Ray Emitting AGN
public,champlane,Chandra Multiwavelength Plane Survey Optical ID Catalog
public,champlanex,ChaMPlane Galactic Bulge and Center X-Ray Source Catalog
public,champpsc,Chandra Multiwavelength Project (ChaMP) Point Source Catalog
public,champsdssa,CHAMP/SDSS Nearby Low-Luminosity AGN Catalog
public,chandfn1ms,Chandra Deep Field North 1-Megasecond Catalog
public,chandfn2ms,Chandra Deep Field North 2-Megasecond Catalog
public,chandfs1ms,Chandra Deep Field South 1-Megasecond Catalog
public,chandfs2ms,Chandra Deep Field South 2-Megasecond Catalog
public,chandfs4ms,Chandra Deep Field South 4-Megasecond Catalog
public,chandfs7ms,Chandra Deep Field-South 7-Megasecond X-Ray Source Catalog
public,chanextdfs,Chandra Extended Deep Field South Survey Point Source Catalog
public,changalxrb,Chandra X-Ray Binary Catalog of SINGS Galaxies
public,changbscat,Chandra Galactic Bulge Survey Full X-Ray Point Source Catalog
public,chanmaster,Chandra Observations
public,channsgpsc,Chandra Nearby Spiral Galaxies Point Source Catalog
public,chansexagn,Chandra Serendipitous Extragalactic X-Ray Source ID (SEXSI)/Spit
public,chansexoid,Chandra Serendipitous Extragalactic X-Ray Source ID (SEXSI) Opti
public,chansexsi,Chandra Serendipitous Extragalactic X-Ray Source ID (SEXSI) Cata
public,chansngcat,Chandra ACIS Survey for X-Ray AGN in Nearby Galaxies
public,chantypgpr,Chandra Typical Galactic Plane Region Point Source Catalog
public,chanulxcat,Chandra Archive Of Galaxies Ultraluminous X-Ray Source Catalog
public,chanvguide,Chandra Variable Guide Star Catalog
public,chasfrxray,ROSAT All-Sky Survey: Chamaeleon Star Forming Region Study
public,chesscat,ChaMP Extended Stellar Survey (ChESS) X-Ray Catalog
public,chicagocxo,ChIcAGO Survey Chandra X-Ray Source Catalog
public,chngpscliu,Chandra ACIS Survey of Nearby Galaxies X-Ray Point Source Catalo
public,chpngptsrc,Chandra Nearby Galaxies Point Source Catalog
public,clans,Chandra Lockman Area North Survey (CLANS) X-Ray Source Catalog
public,clansoid,Chandra Lockman Area North Survey (CLANS) Optical & IR Catalog
public,class,HEASARC Object Classifications
public,clasxs,Chandra Large-Area Synoptic X-Ray Survey of Lockman Hole-NW
public,clasxsoid,Chandra Large-Area Synoptic X-Ray Survey Optical & IR Catalog
public,clscat,Chandra Legacy Survey (CLS) Catalog
public,cma,EXOSAT/CMA Sources (Unscreened)
public,cmaimage,EXOSAT CMA Images for Each Pointing
public,cmaob1nir,CMa OB1 XMM-Newton Point Source Near-Infrared Counterpart Proper
public,cmaob1xmm,CMa OB1 XMM-Newton X-Ray Point Source Catalog
public,cmar1xray,ROSAT PSPC Catalog of Canis Major R1 X-Ray Sources
public,cmascreen,EXOSAT/CMA Sources (Screened for Quality)
public,cmbmaster,LAMBDA Cosmic Microwave Background Experiments Master Catalog
public,cns3,"Gliese Catalog of Nearby Stars, 3rd Edition"
public,cocd,COCD: Catalog of Open Cluster Data
public,cocdext1,COCD: Catalog of Open Cluster Data First Extension
public,coll69oid,Collinder 69 Cluster Optical/IR Counterparts to XMM-Newton X-Ray
public,coll69xmm,Collinder 69 Cluster XMM-Newton X-Ray Point Source Catalog
public,comptel,CGRO/COMPTEL Low-Level Data and Maps
public,corotexlog,CoRoT Stellar Targets for Exoplanet Detection Observation Log
public,cosbmaps,COS-B Map Product Catalog
public,cosbraw,COS-B Photon Events Catalog
public,cosmosvlba,COSMOS Field VLBA Observations 1.4-GHz Source Catalog
public,cosxfirmwc,COSMOS Field X-Ray & FIR Detected AGN Multiwavelength Properties
public,coup,Chandra Orion Ultradeep Point Source Catalog
public,cpstars,"Catalog of Ap, HgMn and Am Stars"
public,cr261cxo,Collinder 261 Chandra X-Ray Point Source Catalog
public,cr261oid,Collinder 261 Chandra X-Ray Source Optical Counterparts Catalog
public,crabtime,Crab Pulsar Timing
public,crates,CRATES Flat-Spectrum Radio Source Catalog
public,cratesocrap,OCRA-p Survey of a Subset of CRATES Sources
public,csc,"Chandra Source Catalog, v2.1.1"
public,cscstack,"Chandra Source Catalog Stacked Observation Detections, v2.1.1"
public,cvcat,Cataclysmic Variables Catalog (2006 Final Edition)
public,cxogsgsrc,Chandra ACIS GSG Point-Like X-Ray Source Catalog
public,cxoxassist,Chandra XAssist Source List
public,cyder,Calan-Yale Deep Extragalactic Research Survey X-Ray Source Catal
public,cygob2cxo,Cygnus OB2 Association Chandra X-Ray Point Source Catalog
public,cygob2cxo2,Cygnus OB2 Association Chandra X-Ray Point Source Catalog 2
public,cygob2xmm,Cygnus OB2 Association XMM-Newton X-Ray Point Source Catalog
public,cygtevcxo,Cygnus TeV Source Chandra X-Ray Point Source Catalog
public,denisigal,First DENIS I-Band Extragalactic Catalog
public,dirbepsc,COBE DIRBE Point Source Catalog
public,dixon,Dixon Master List of Radio Sources (Version 43)
public,dncvobcat,Outburst Catalog of Dwarf Novae-type and Other Cataclysmic Varia
public,duerbeck,Galactic Novae References Catalog
public,dxrbs,ROSAT Deep X-Ray Radio Blazar Survey Catalog
public,ecdfscxo,Extended Chandra Deep Field-South X-Ray Point Source Catalog
public,ecdfsnew,Extended Chandra Deep Field South 250-ks Improved Point Source C
public,ecdfsoid,Extended Chandra Deep Field-South Survey Optical Identifications
public,ecdfsoid2,Extended Chandra Deep Field-South Optical and Near-IR Counterpar
public,ecdfsrssam,Radio-Selected Extended Chandra Deep Field South Source Catalog
public,efedshard,eROSITA eFEDS Hard X-Ray (2.3-5.0 keV) Source Catalog
public,efedsmain,eROSITA eFEDS Main X-Ray (0.2-2.3 keV) Source Catalog
public,egrcat,CGRO/EGRET Revised Catalog of Gamma-Ray Sources
public,egret3,CGRO/EGRET Third Source Catalog
public,egretdata,CGRO/EGRET Photon Lists and Maps
public,eingalcat,Catalog of Galaxies Observed by the Einstein Observatory IPC & H
public,eingalclus,Einstein Observatory Clusters of Galaxies Catalog
public,einopslgal,Einstein Survey of Optically Selected Galaxies
public,einstein2e,Einstein Observatory 2E Catalog of IPC X-Ray Sources
public,elaiscxo,ELAIS N1 and N2 Fields Chandra X-Ray Point Source Catalog
public,elaisfbmc,European Large-Area ISO Survey (ELAIS) Final Band-Merged Catalog
public,elaiss1oid,ELAIS S1 Field X-Ray Source Optical/IR Identifications Catalog
public,elaiss1xmm,ELAIS S1 Field XMM-Newton X-Ray Source Catalog
public,emss,Einstein Catalog IPC EMSS Survey
public,erass1hard,eROSITA All-Sky Survey (First 6 Months) Three-Band (2.3-5.0 keV)
public,erass1main,eROSITA All-Sky Survey (First 6 Months) X-Ray (0.2-2.3 keV) Sour
public,erassmastr,eROSITA All-Sky Survey Master Catalog
public,erosmaster,eROSITA Observations Master Catalog
public,erosxmm,Extremely Red Objects XMM-Newton Survey Catalog
public,esouppsala,ESO-Uppsala ESO(B) Survey
public,etachahard,Eta Chamaeleontis eROSITA EDR Field X-Ray (2.3-5.0 keV) Source C
public,etachamain,Eta Chamaeleontis eROSITA EDR Field X-Ray (0.2-2.3 keV) Source C
public,etgalcxo,Early-Type Galaxies Chandra X-Ray Point Source Catalog
public,etgalxray,Early-Type Galaxies X-Ray Luminosities Catalog
public,euv,Master EUV Catalog
public,euvebsl,EUVE Bright Sources
public,euvecat2,EUVE Second Source Catalog
public,euvemaster,EUVE Archive and Observation Log
public,euverap1,"EUVE Right Angle Program, 1st Catalog"
public,euverap2,"EUVE Right Angle Program, 2nd Catalog"
public,euverap3,"EUVE Right Angle Program, 3rd Catalog"
public,euvexrtcat,All-Sky Catalog of Faint EUV Sources
public,exgalemobj,Hewitt & Burbidge (1991) Catalog of Extragalactic Emission-Line
public,exms,EXOSAT ME Slew Catalog
public,exofot,EXOSAT Final Observation Tapes
public,exogps,EXOSAT/ME Galactic Plane Survey
public,exohgls,EXOSAT/CMA High Galactic Latitude Survey
public,exolog,EXOSAT Observation Log
public,exomaster,EXOSAT Master Observation List
public,exoplanets,Extrasolar Planets Encyclopedia
public,exoplanodb,Exoplanet Orbit Database
public,exopubs,EXOSAT Bibliography
public,exss,Einstein Extended Source Survey
public,faust,Faust Far-UV Point Source Catalog
public,fbsbsocat,First Byurakan Survey Blue Stellar Objects Catalog
public,fer2fusrid,Fermi 2FGL Unassociated Gamma-Ray Sources Possible Radio Identif
public,fermi2favs,Fermi All-Sky Variability Analysis Second Catalog of Flaring Gam
public,fermi3fgl,Fermi LAT 4-Year Point Source Catalog
