schema_name,table_name,description
TAP_SCHEMA,TAP_SCHEMA.columns,Available columns at NASA/IPAC Infrared Science Archive
TAP_SCHEMA,TAP_SCHEMA.key_columns,Available Key Columns at NASA/IPAC Infrared Science Archive
TAP_SCHEMA,TAP_SCHEMA.keys,Available Keys at NASA/IPAC Infrared Science Archive
TAP_SCHEMA,TAP_SCHEMA.schemas,Available schemas at NASA/IPAC Infrared Science Archive
TAP_SCHEMA,TAP_SCHEMA.tables,Available tables at NASA/IPAC Infrared Science Archive
spitzer,a1763t2,Abell 1763 Source Catalog
spitzer,a1763t3,Abell 1763 MIPS 70 micron Catalog
herschel,acmccat,ACMC Catalog
cosmos,acs_iphot_sep07,COSMOS ACS I-band photometry catalog September 2007
akari,akari.akari_images,AKARI Far-infrared All-Sky Survey Maps (AKARI)
akari,akari_fis,AKARI/FIS Bright Source Catalogue
akari,akari_irc,AKARI/IRC Point Source Catalogue
akari,akariastflux,AKARI Asteroid Flux Catalog
contributed_data_sets,akarinepw,AKARI-HSC Band-Merged Catalog in the North Ecliptic Pole Wide Field
wise,allsky_2band_p1ba_mch,WISE Post-Cryo Single Exposure (L1b) Known SSO Possible Association List (<a href='https://wise2.ipac.caltech.edu/docs/release/allsky/expsup/ssopal.README.html' target='doc'> Caution </a>)
wise,allsky_2band_p1bl_lod,WISE Post-Cryo Single Exposure (L1b) Scan Inventory Table
wise,allsky_2band_p1bm_frm,WISE Post-Cryo Single Exposure (L1b) Image Inventory Table
wise,allsky_2band_p1bs_frm,WISE Post-Cryo Single Exposure (L1b) Frame Metadata Table
wise,allsky_2band_p1bs_psd,WISE Post-Cryo Single Exposure (L1b) Source Table
wise,allsky_3band_p1ba_mch,WISE 3-Band Cryo Known Solar System Object Possible Association List (<a href='http://wise2.ipac.caltech.edu/docs/release/allsky/expsup/ssopal.README.html' target='doc'> Caution </a>)
wise,allsky_3band_p1bl_lod,WISE 3-Band Cryo Single Exposure (L1b) Scan Inventory Table
wise,allsky_3band_p1bm_frm,WISE 3-Band Cryo Single Exposure (L1b) Image Inventory Table
wise,allsky_3band_p1bs_frm,WISE 3-Band Cryo Single Exposure (L1b) Frame Metadata Table
wise,allsky_3band_p1bs_psd,WISE 3-Band Cryo Single Exposure (L1b) Source Table
wise,allsky_3band_p3al_lod,WISE 3-Band Cryo Atlas Inventory Table
wise,allsky_3band_p3am_cdd,WISE 3-Band Cryo Atlas Image Inventory Table
wise,allsky_3band_p3am_xrf,WISE 3-Band Cryo Frame Cross-Reference Table
wise,allsky_3band_p3as_cdd,WISE 3-Band Cryo Atlas Metadata Table
wise,allsky_3band_p3as_psd,WISE 3-Band Cryo Source Working Database (<a href='http://wise2.ipac.caltech.edu/docs/release/3band/expsup/wise_3band_wdb_README.html' target='doc'>README</a>)
wise,allsky_4band_p1ba_mch,WISE All-Sky Known Solar System Object Possible Association List (<a href='http://wise2.ipac.caltech.edu/docs/release/allsky/expsup/ssopal.README.html' target='doc'> Caution </a>)
