schema_name,table_name,description
B_extern,"""B/astorb/astorb""","The catalog of Orbits (2014-01-05) ( Bowell E., Wasserman L., Moskovitz N., Burt B., Schottland R.)"
B_extern,"""B/avo.rad/catalog""","MERLIN+VLA HFF/HDF(N) catalogue ( Muxlow T.W.B, Richards A.M.S, Garrington S.T., Wilkinson P.N. Anderson B.A., Richards E.A., Axon D.J., Partridge R.B., Kellermann K.I., Fomalont E.B. Muxlow T.W.B, et al. MNRAS (in press))"
B_extern,"""B/avo.rad/wsrt""","WSRT data ( Muxlow T.W.B, Richards A.M.S, Garrington S.T., Wilkinson P.N. Anderson B.A., Richards E.A., Axon D.J., Partridge R.B., Kellermann K.I., Fomalont E.B. Muxlow T.W.B, et al. MNRAS (in press))"
B_extern,"""B/bax/bax""","Main parameters of the BAX database ( Sadat R., Blanchard A., Kneib J.-P., Mathez G., Madore B., Mazzarella J.M.)"
B_extern,"""B/cb/cbdata""","Catalogue of Cataclysmic Binaries ( Ritter H., Kolb U.)"
B_extern,"""B/cb/cbrefs""","References for cbdata.dat ( Ritter H., Kolb U.)"
B_extern,"""B/cb/findrefs""","References for finding charts ( Ritter H., Kolb U.)"
B_extern,"""B/cb/lmxbdata""","Catalogue of Low-Mass X-Ray Binaries ( Ritter H., Kolb U.)"
B_extern,"""B/cb/lmxbrefs""","References for lmxbdata.dat ( Ritter H., Kolb U.)"
B_extern,"""B/cb/pcbdata""","Catalogue of Related Objects ( Ritter H., Kolb U.)"
B_extern,"""B/cb/pcbrefs""","References for pcbdata.dat ( Ritter H., Kolb U.)"
B_extern,"""B/cb/whoswho1""","*Alternative names in lexigraphical order ( Ritter H., Kolb U.)"
B_extern,"""B/cb/whoswho2""","*Provisional and Common designations ( Ritter H., Kolb U.)"
B_extern,"""B/cb/whoswho5""","*References to the catalogue acronyms ( Ritter H., Kolb U.)"
B_extern,"""B/cfht/cfht""","Old Observation Log (October 2002 to 2007) ( National Research Council, Herzberg Institute of Astrophysics)"
B_extern,"""B/cfht/obscore""","The CFHT Observation logs ( National Research Council, Herzberg Institute of Astrophysics)"
B_extern,"""B/chandra/chandra""",The Chandra Log (2026-08-09) ( CXC)
B_extern,"""B/comets/comets""",The catalog of Comets (2024-09-22) ( Rocher P.)
B_extern,"""B/corot/Bright_star""",Stars observed in the bright star mode ( CoRoT team)
B_extern,"""B/corot/Faint_star""",Stars observed in the faint star mode with E(B-V) ( CoRoT team)
B_extern,"""B/dao/obscore""","DAO Science Archive observations ( National Research Council, Herzberg Institute of Astrophysics)"
large_tables,"""B/denis/denis""",DENIS output ( DENIS consortium)
B_extern,"""B/eso/eso_arc""",Full ESO science archive log from 1991 ( ESO)
B_extern,"""B/gcvs/crossid""","Cross-Identifications (Vol. V) ( Samus N.N., Kazarovets E.V., Durlevich O.V., Kireeva N.N., Pastukhova E.N.)"
B_extern,"""B/gcvs/evs_cat""","Extragalactic Variable Stars. Catalogue (Vol. V) ( Samus N.N., Kazarovets E.V., Durlevich O.V., Kireeva N.N., Pastukhova E.N.)"
B_extern,"""B/gcvs/evs_rem""","Extragalactic Variable Stars. Remarks ( Samus N.N., Kazarovets E.V., Durlevich O.V., Kireeva N.N., Pastukhova E.N.)"
B_extern,"""B/gcvs/gcvs_cat""","GCVS catalog (GCVS 5.1, version Oct, 2020) ( Samus N.N., Kazarovets E.V., Durlevich O.V., Kireeva N.N., Pastukhova E.N.)"
B_extern,"""B/gcvs/gcvs_rem""","GCVS remarks ( Samus N.N., Kazarovets E.V., Durlevich O.V., Kireeva N.N., Pastukhova E.N.)"
B_extern,"""B/gcvs/nsv_cat""","NSV and supplement ( Samus N.N., Kazarovets E.V., Durlevich O.V., Kireeva N.N., Pastukhova E.N.)"
B_extern,"""B/gcvs/nsv_rem""","NSV and NSVS remarks ( Samus N.N., Kazarovets E.V., Durlevich O.V., Kireeva N.N., Pastukhova E.N.)"
B_extern,"""B/gcvs/refs""","References ( Samus N.N., Kazarovets E.V., Durlevich O.V., Kireeva N.N., Pastukhova E.N.)"
B_extern,"""B/gemini/obscore""","Gemini Observations ( Association of Universities for Research in Astronomy, Inc., under a cooperative agreement with the NSF on behalf of the Gemini partnership: the National Science Foundation (United States), et al.)"
B_extern,"""B/hst/hstlog""",Merged log of HST Observations ( STScI Team)
vcds1,"""B/hst/obscore""",HST observation logs (sample) ( STScI Team)
B_extern,"""B/hst/wfpc2""","*HST WFPC2 associations, Version 1. ( STScI Team)"
B_extern,"""B/int/obs""",Observation log ( Cambridge Astronomical Survey Unit)
B_extern,"""B/iram/30m""","List of observations at 30m instrument since 2009-09-30 (calibration observations not included) ( Dan M., Neri R., Sievers A.)"
B_extern,"""B/iram/30m_pi""","List of PI investigators of 30m instrument ( Dan M., Neri R., Sievers A.)"
B_extern,"""B/iram/noema""","The Plateau de Bure Interferometer (Noema) Observation Log since 2016 ( Dan M., Neri R., Sievers A.)"
B_extern,"""B/iram/noema_pi""","List of PI investigators of Noema instrument ( Dan M., Neri R., Sievers A.)"
B_extern,"""B/iram/pdbi""","The Plateau de Bure Interferometer Observation Log since 1991-12-01 ( Dan M., Neri R., Sievers A.)"
B_extern,"""B/iram/pdbi_pi""","List of PI investigators of PdBI instrument ( Dan M., Neri R., Sievers A.)"
B_extern,"""B/jcmt/obscore""",The JCMT Observation Log ( Canadian Astronomy Data Centre)
B_extern,"""B/merlin/merlin""",Log of MERLIN archive data ( MERLIN Staff)
B_extern,"""B/mk/mktypes""",The catalog of MK Spectral Types ( Skiff B.A.)
B_extern,"""B/occ/asteroid""",table description ( )
B_extern,"""B/occ/moon""",table description ( )
B_extern,"""B/ocl/clusters""","The Catalogue Data File (V3.5) ( Dias W.S., Alessi B.S., Moitinho A., Lepine J.R.D.)"
B_extern,"""B/ocl/phot""","Available photometric data (on Jan 23 2002) ( Dias W.S., Alessi B.S., Moitinho A., Lepine J.R.D.)"
B_extern,"""B/ocl/refs""","References for proper motions and radial velocities ( Dias W.S., Alessi B.S., Moitinho A., Lepine J.R.D.)"
B_extern,"""B/ocl/removed""","Removed clusters (V3.5) ( Dias W.S., Alessi B.S., Moitinho A., Lepine J.R.D.)"
B_extern,"""B/ocl/sources""","References (V3.5) ( Dias W.S., Alessi B.S., Moitinho A., Lepine J.R.D.)"
B_extern,"""B/pastel/pastel""","The catalogue of stellar atmospheric parameters (Version 2020-01-30) ( Soubiran C., Le Campion J.-F., Brouillet N., Chemin L.)"
B_extern,"""B/planets/epn_core""","Solar system table (EPN core table) ( CDS, ObsParis =2018P&SS..150...65E)"
B_extern,"""B/polarbase/polarbase""","Polarbase database (IRAP) ( Petit P., Paletou F., Mathias P., Glorian JM., Amato A.)"
B_extern,"""B/pollux/sed""","*Pollux energy distributions in the POLLUX database (version 16/07/2024) ( Palacios A., Gebran M., Josselin E., Martins F., Plez B., Belmas M., Lebre A.)"
B_extern,"""B/pollux/sshrflux""","*High resolution synthetic spectra in the POLLUX database (version 16/07/2024) ( Palacios A., Gebran M., Josselin E., Martins F., Plez B., Belmas M., Lebre A.)"
B_extern,"""B/pollux/sshrint""","*High resolution synthetic intensity in the Pollux database (version 16/07/2024) ( Palacios A., Gebran M., Josselin E., Martins F., Plez B., Belmas M., Lebre A.)"
B_extern,"""B/psr/psr""","ATNF Pulsar Catalogue ( Manchester R.N., Hobbs G.B., Teoh A., Hobbs M.)"
B_extern,"""B/psr/refs""","ATNF References ( Manchester R.N., Hobbs G.B., Teoh A., Hobbs M.)"
B_extern,"""B/sb9/alias""","List of other designations ( Pourbaix D., Tokovinin A.A, Batten A.H., Fekel F.C., Hartkopf W.I., Levato H., Morell N.I., Torres G., Udry S.)"
B_extern,"""B/sb9/main""","Position, magnitudes and spectral types ( Pourbaix D., Tokovinin A.A, Batten A.H., Fekel F.C., Hartkopf W.I., Levato H., Morell N.I., Torres G., Udry S.)"
B_extern,"""B/sb9/orbits""","Orbital parameters ( Pourbaix D., Tokovinin A.A, Batten A.H., Fekel F.C., Hartkopf W.I., Levato H., Morell N.I., Torres G., Udry S.)"
B_extern,"""B/sbx/alias""","List of other designations (\originalcolumnnames) ( Merle, T., Jorissen, A., Alexandre, S., Desuter, J., Loup, C., Tokovinin, A.,Traven, G., Van der Swaelmen, M., Van Eck, S., Van de Steene, G.,Southworth, J., Sadowski, G.)"
B_extern,"""B/sbx/orbits""","Orbital parameters (\originalcolumnnames) ( Merle, T., Jorissen, A., Alexandre, S., Desuter, J., Loup, C., Tokovinin, A.,Traven, G., Van der Swaelmen, M., Van Eck, S., Van de Steene, G.,Southworth, J., Sadowski, G.)"
B_extern,"""B/sbx/systems""","Position, magnitudes and spectral types (\originalcolumnnames) ( Merle, T., Jorissen, A., Alexandre, S., Desuter, J., Loup, C., Tokovinin, A.,Traven, G., Van der Swaelmen, M., Van Eck, S., Van de Steene, G.,Southworth, J., Sadowski, G.)"
B_extern,"""B/sbx/velocities""","Velocities parameters (\originalcolumnnames) ( Merle, T., Jorissen, A., Alexandre, S., Desuter, J., Loup, C., Tokovinin, A.,Traven, G., Van der Swaelmen, M., Van Eck, S., Van de Steene, G.,Southworth, J., Sadowski, G.)"
